Severity,Record Type,Source Document,Page,Organization,Date,OCR Original,LLM Resolution,Suggested Problem
High — OCR/legibility,patron,UDC20260028-10.pdf,3,Melbourne Liedertafel,1893,"Catron: 
The  HON, STB W. J. CLARKE, BART., M.L.C.","name: The  HON, STB W. J. CLARKE, BART., M.L.C. | role: Patron",OCR likely reads 'Catron' for 'Patron'
High — OCR/legibility,performer,UDC20260028-10.pdf,5,Melbourne Liedertafel,1893,"Morgan, C. W. on leave)","name: Morgan, C. W. on leave) | part_or_instrument: Second Tenor",Missing opening parenthesis in OCR
High — OCR/legibility,performer,UDC20260028-10.pdf,16,Melbourne Liedertafel,1893,"ELIZABETH MDME. ELISE WIEDERMANN.
LANDGRAVE L :w!, HERR R. NITSCHKE.",name: MDME. ELISE WIEDERMANN. | part_or_instrument: Elizabeth (role) | associated_work: THE LEGEND OF ST. ELIZABETH (OF HUNGARY),OCR garble in 'LANDGRAVE L :w!'
High — OCR/legibility,performer,UDC20260028-10.pdf,16,Melbourne Liedertafel,1893,"ELIZABETH MDME. ELISE WIEDERMANN.
LANDGRAVE L :w!, HERR R. NITSCHKE.",name: HERR R. NITSCHKE. | part_or_instrument: Landgrave (role) | associated_work: THE LEGEND OF ST. ELIZABETH (OF HUNGARY),OCR garble in 'LANDGRAVE L :w!'
High — OCR/legibility,patron,UDC20260028-10.pdf,19,Melbourne Liedertafel,1893,"NICHOLSON & 
GO. (for the Statuary).",name: NICHOLSON & GO. | role: Donor,OCR likely 'GO.' for 'CO.'; in-kind sponsor/donor
High — OCR/legibility,organization,UDC20260028-11.pdf,3,Melbourne Liedertafel,1893,"OYAL
METROPOLITAN LIEDERTAFEL","name: OYAL
METROPOLITAN LIEDERTAFEL | role: presenting organization",Name likely 'ROYAL METROPOLITAN LIEDERTAFEL' (OCR missing initial 'R')
High — OCR/legibility,organization,UDC20260028-11.pdf,4,Melbourne Liedertafel,1893,Ube Uopi Metropolitan Xiebertatel,name: Ube Uopi Metropolitan Xiebertatel | role: presenting organization,Name likely 'The Royal Metropolitan Liedertafel' (OCR garble)
High — OCR/legibility,work,UDC20260028-11.pdf,8,Melbourne Liedertafel,1893,"Cavatina-“Convien partir” Tonizetti
(La Figlia del Reggimento)",title: Convien partir | composer: Tonizetti | movement_or_selection: (La Figlia del Reggimento),Composer likely 'Donizetti' (OCR)
High — OCR/legibility,work,UDC20260028-11.pdf,8,Melbourne Liedertafel,1893,"Cantata—""God and Jatberland"" cal. Eschirch",title: God and Jatberland | composer: cal. Eschirch,Composer likely 'Carl Eschrich' (OCR)
High — OCR/legibility,work,UDC20260028-11.pdf,9,Melbourne Liedertafel,1893,"MBallad—""Ever Chine""
...
Franz ^bt",title: Ever Chine | composer: Franz ^bt,Composer likely 'Franz Abt' (OCR)
High — OCR/legibility,work,UDC20260028-11.pdf,11,Melbourne Liedertafel,1893,"Song—""The Three Wishes” insuti",title: The Three Wishes | composer: insuti,Composer likely 'Pinsuti' (OCR)
High — OCR/legibility,venue,UDC20260028-11.pdf,16,Melbourne Liedertafel,1893,"yoWN JÎALL, 
^ELBOURNE","place: yoWN JÎALL, ^ELBOURNE","Likely 'TOWN HALL, MELBOURNE' (OCR garble)"
High — OCR/legibility,date,UDC20260028-11.pdf,16,Melbourne Liedertafel,1893,"MONDAY pVENINQ
2JTH ^ARCH, 1893.","date_text: MONDAY pVENINQ 2JTH ^ARCH, 1893.","Likely 'MONDAY EVENING 27TH MARCH, 1893' (OCR garble)"
High — OCR/legibility,venue,UDC20260028-13.pdf,3,Melbourne Liedertafel,1889,"TOWN JALL, MELBOURNE","place: TOWN JALL, MELBOURNE",OCR likely 'Hall'→'JALL' — kept as printed
High — OCR/legibility,performer,UDC20260028-13.pdf,4,Melbourne Liedertafel,1889,Piss Florence FRenk-FReyer,name: Piss Florence FRenk-FReyer,Role not specified; possibly pianist (cf. p.11 'Miss Florence Menk-Meyer'); OCR likely garbled name
